match,home_team,away_team,market_name,team,line,over_price,agency,class_external_id,competition_external_id,event_external_id,market_id,player_id
Chelsea v Newcastle United,Chelsea,Newcastle United,Team Shots On Target,Newcastle United,2.5,1.12,Sportsbet,49,289,12804247,460110332,2226720533
Chelsea v Newcastle United,Chelsea,Newcastle United,Team Shots On Target,Chelsea,3.5,1.14,Sportsbet,49,289,12804247,460110297,2226720542
Chelsea v Newcastle United,Chelsea,Newcastle United,Team Shots On Target,Newcastle United,3.5,1.36,Sportsbet,49,289,12804247,460110297,2226720543
Chelsea v Newcastle United,Chelsea,Newcastle United,Team Shots On Target,Chelsea,4.5,1.36,Sportsbet,49,289,12804247,460110304,2226720556
Chelsea v Newcastle United,Chelsea,Newcastle United,Team Shots On Target,Newcastle United,4.5,1.91,Sportsbet,49,289,12804247,460110304,2226720557
Chelsea v Newcastle United,Chelsea,Newcastle United,Team Shots On Target,Chelsea,5.5,1.8,Sportsbet,49,289,12804247,460110306,2226720560
Chelsea v Newcastle United,Chelsea,Newcastle United,Team Shots On Target,Newcastle United,5.5,2.88,Sportsbet,49,289,12804247,460110306,2226720561
Chelsea v Newcastle United,Chelsea,Newcastle United,Team Shots On Target,Chelsea,6.5,2.63,Sportsbet,49,289,12804247,460110308,2226720564
Chelsea v Newcastle United,Chelsea,Newcastle United,Team Shots On Target,Newcastle United,6.5,4.5,Sportsbet,49,289,12804247,460110308,2226720565
Chelsea v Newcastle United,Chelsea,Newcastle United,Team Shots On Target,Chelsea,7.5,3.75,Sportsbet,49,289,12804247,460110310,2226720568
Chelsea v Newcastle United,Chelsea,Newcastle United,Team Shots On Target,Newcastle United,7.5,7.5,Sportsbet,49,289,12804247,460110310,2226720569
West Ham United v Manchester United,West Ham United,Manchester United,Team Shots On Target,West Ham United,2.5,1.08,Sportsbet,49,289,12804251,460155522,2226906150
West Ham United v Manchester United,West Ham United,Manchester United,Team Shots On Target,West Ham United,3.5,1.3,Sportsbet,49,289,12804251,460155530,2226906166
West Ham United v Manchester United,West Ham United,Manchester United,Team Shots On Target,Manchester United,3.5,1.14,Sportsbet,49,289,12804251,460155530,2226906167
West Ham United v Manchester United,West Ham United,Manchester United,Team Shots On Target,West Ham United,4.5,1.72,Sportsbet,49,289,12804251,460155547,2226906120
West Ham United v Manchester United,West Ham United,Manchester United,Team Shots On Target,Manchester United,4.5,1.36,Sportsbet,49,289,12804251,460155547,2226906121
West Ham United v Manchester United,West Ham United,Manchester United,Team Shots On Target,West Ham United,5.5,2.5,Sportsbet,49,289,12804251,460155556,2226906138
West Ham United v Manchester United,West Ham United,Manchester United,Team Shots On Target,Manchester United,5.5,1.83,Sportsbet,49,289,12804251,460155556,2226906139
West Ham United v Manchester United,West Ham United,Manchester United,Team Shots On Target,West Ham United,6.5,3.75,Sportsbet,49,289,12804251,460155523,2226906152
West Ham United v Manchester United,West Ham United,Manchester United,Team Shots On Target,Manchester United,6.5,2.7,Sportsbet,49,289,12804251,460155523,2226906153
West Ham United v Manchester United,West Ham United,Manchester United,Team Shots On Target,West Ham United,7.5,6,Sportsbet,49,289,12804251,460155528,2226906162
West Ham United v Manchester United,West Ham United,Manchester United,Team Shots On Target,Manchester United,7.5,4,Sportsbet,49,289,12804251,460155528,2226906163
Crystal Palace v Tottenham Hotspur,Crystal Palace,Tottenham Hotspur,Team Shots On Target,Crystal Palace,2.5,1.2,Sportsbet,49,289,12804253,460157187,2226912604
Crystal Palace v Tottenham Hotspur,Crystal Palace,Tottenham Hotspur,Team Shots On Target,Crystal Palace,3.5,1.57,Sportsbet,49,289,12804253,460157195,2226912620
Crystal Palace v Tottenham Hotspur,Crystal Palace,Tottenham Hotspur,Team Shots On Target,Tottenham Hotspur,3.5,1.12,Sportsbet,49,289,12804253,460157195,2226912621
Crystal Palace v Tottenham Hotspur,Crystal Palace,Tottenham Hotspur,Team Shots On Target,Crystal Palace,4.5,2.37,Sportsbet,49,289,12804253,460157209,2226912568
Crystal Palace v Tottenham Hotspur,Crystal Palace,Tottenham Hotspur,Team Shots On Target,Tottenham Hotspur,4.5,1.33,Sportsbet,49,289,12804253,460157209,2226912569
Crystal Palace v Tottenham Hotspur,Crystal Palace,Tottenham Hotspur,Team Shots On Target,Crystal Palace,5.5,3.6,Sportsbet,49,289,12804253,460157217,2226912584
Crystal Palace v Tottenham Hotspur,Crystal Palace,Tottenham Hotspur,Team Shots On Target,Tottenham Hotspur,5.5,1.72,Sportsbet,49,289,12804253,460157217,2226912585
Crystal Palace v Tottenham Hotspur,Crystal Palace,Tottenham Hotspur,Team Shots On Target,Crystal Palace,6.5,5.5,Sportsbet,49,289,12804253,460157184,2226912598
Crystal Palace v Tottenham Hotspur,Crystal Palace,Tottenham Hotspur,Team Shots On Target,Tottenham Hotspur,6.5,2.5,Sportsbet,49,289,12804253,460157184,2226912599
Crystal Palace v Tottenham Hotspur,Crystal Palace,Tottenham Hotspur,Team Shots On Target,Crystal Palace,7.5,9.5,Sportsbet,49,289,12804253,460157191,2226912612
Crystal Palace v Tottenham Hotspur,Crystal Palace,Tottenham Hotspur,Team Shots On Target,Tottenham Hotspur,7.5,3.75,Sportsbet,49,289,12804253,460157191,2226912613
Arsenal v Liverpool,Arsenal,Liverpool,Team Shots On Target,Arsenal,2.5,1.08,Sportsbet,49,289,12804248,460134205,2226822600
Arsenal v Liverpool,Arsenal,Liverpool,Team Shots On Target,Liverpool,2.5,1.12,Sportsbet,49,289,12804248,460134205,2226822601
Arsenal v Liverpool,Arsenal,Liverpool,Team Shots On Target,Arsenal,3.5,1.28,Sportsbet,49,289,12804248,460134155,2226822612
Arsenal v Liverpool,Arsenal,Liverpool,Team Shots On Target,Liverpool,3.5,1.4,Sportsbet,49,289,12804248,460134155,2226822613
Arsenal v Liverpool,Arsenal,Liverpool,Team Shots On Target,Arsenal,4.5,1.72,Sportsbet,49,289,12804248,460134162,2226822626
Arsenal v Liverpool,Arsenal,Liverpool,Team Shots On Target,Liverpool,4.5,2,Sportsbet,49,289,12804248,460134162,2226822627
Arsenal v Liverpool,Arsenal,Liverpool,Team Shots On Target,Arsenal,5.5,2.5,Sportsbet,49,289,12804248,460134164,2226822630
Arsenal v Liverpool,Arsenal,Liverpool,Team Shots On Target,Liverpool,5.5,3,Sportsbet,49,289,12804248,460134164,2226822631
Arsenal v Liverpool,Arsenal,Liverpool,Team Shots On Target,Arsenal,6.5,3.75,Sportsbet,49,289,12804248,460134166,2226822634
Arsenal v Liverpool,Arsenal,Liverpool,Team Shots On Target,Liverpool,6.5,4.5,Sportsbet,49,289,12804248,460134166,2226822635
Arsenal v Liverpool,Arsenal,Liverpool,Team Shots On Target,Arsenal,7.5,5.5,Sportsbet,49,289,12804248,460134168,2226822638
Arsenal v Liverpool,Arsenal,Liverpool,Team Shots On Target,Liverpool,7.5,7.5,Sportsbet,49,289,12804248,460134168,2226822639
